Data;Av.da Lib. (µg/m3)
01/01/2014 00:00;41.3
01/01/2014 01:00;37.76
01/01/2014 02:00;36.88
01/01/2014 03:00;18.88
01/01/2014 04:00;19.18
01/01/2014 05:00;24.78
01/01/2014 06:00;24.78
01/01/2014 07:00;23.6
01/01/2014 08:00;23.31
01/01/2014 09:00;16.52
01/01/2014 10:00;16.52
01/01/2014 11:00;15.34
01/01/2014 12:00;15.34
01/01/2014 13:00;14.16
01/01/2014 14:00;14.16
01/01/2014 15:00;11.8
01/01/2014 16:00;12.1
01/01/2014 17:00;16.52
01/01/2014 18:00;16.52
01/01/2014 19:00;18.88
01/01/2014 20:00;18.88
01/01/2014 21:00;17.7
01/01/2014 22:00;18
01/01/2014 23:00;20.06
02/01/2014 00:00;19.77
02/01/2014 01:00;11.8
02/01/2014 02:00;11.8
02/01/2014 03:00;10.62
02/01/2014 04:00;10.62
02/01/2014 05:00;9.44
02/01/2014 06:00;9.74
02/01/2014 07:00;23.6
02/01/2014 08:00;23.6
02/01/2014 09:00;23.6
02/01/2014 10:00;23.6
02/01/2014 11:00;24.78
02/01/2014 12:00;24.78
02/01/2014 13:00;22.42
02/01/2014 14:00;22.42
02/01/2014 15:00;24.78
02/01/2014 16:00;24.78
02/01/2014 17:00;28.32
02/01/2014 18:00;28.32
02/01/2014 19:00;20.06
02/01/2014 20:00;19.77
02/01/2014 21:00;12.98
02/01/2014 22:00;13.28
02/01/2014 23:00;18.88
03/01/2014 00:00;18.88
03/01/2014 01:00;14.16
03/01/2014 02:00;13.87
03/01/2014 03:00;8.26
03/01/2014 04:00;8.56
03/01/2014 05:00;11.8
03/01/2014 06:00;11.8
03/01/2014 07:00;16.52
03/01/2014 08:00;16.23
03/01/2014 09:00;11.8
03/01/2014 10:00;11.8
03/01/2014 11:00;14.16
03/01/2014 12:00;14.16
03/01/2014 13:00;12.98
03/01/2014 14:00;12.69
03/01/2014 15:00;7.08
03/01/2014 16:00;7.38
03/01/2014 17:00;16.52
03/01/2014 18:00;16.52
03/01/2014 19:00;24.78
03/01/2014 20:00;24.49
03/01/2014 21:00;15.34
03/01/2014 22:00;15.34
03/01/2014 23:00;16.52
04/01/2014 00:00;16.52
04/01/2014 01:00;23.6
04/01/2014 02:00;23.9
04/01/2014 03:00;24.78
04/01/2014 04:00;24.78
04/01/2014 05:00;24.78
04/01/2014 06:00;24.78
04/01/2014 07:00;28.32
04/01/2014 08:00;28.62
04/01/2014 09:00;37.76
04/01/2014 10:00;37.47
04/01/2014 11:00;30.68
04/01/2014 12:00;30.39
04/01/2014 13:00;20.06
04/01/2014 14:00;20.36
04/01/2014 15:00;30.68
04/01/2014 16:00;30.98
04/01/2014 17:00;37.76
04/01/2014 18:00;38.06
04/01/2014 19:00;47.2
04/01/2014 20:00;47.5
04/01/2014 21:00;54.28
04/01/2014 22:00;55.46
04/01/2014 23:00;83.78
05/01/2014 00:00;83.78
05/01/2014 01:00;84.96
05/01/2014 02:00;83.78
05/01/2014 03:00;59
05/01/2014 04:00;58.12
05/01/2014 05:00;40.12
05/01/2014 06:00;40.12
05/01/2014 07:00;30.68
05/01/2014 08:00;30.68
05/01/2014 09:00;30.68
05/01/2014 10:00;30.68
05/01/2014 11:00;24.78
05/01/2014 12:00;24.78
05/01/2014 13:00;23.6
05/01/2014 14:00;23.6
05/01/2014 15:00;22.42
05/01/2014 16:00;22.72
05/01/2014 17:00;31.86
05/01/2014 18:00;31.86
05/01/2014 19:00;29.5
05/01/2014 20:00;29.5
05/01/2014 21:00;25.96
05/01/2014 22:00;26.26
05/01/2014 23:00;30.68
06/01/2014 00:00;30.68
06/01/2014 01:00;22.42
06/01/2014 02:00;21.83
06/01/2014 03:00;14.16
06/01/2014 04:00;14.46
06/01/2014 05:00;21.24
06/01/2014 06:00;21.24
06/01/2014 07:00;22.42
06/01/2014 08:00;22.42
06/01/2014 09:00;17.7
06/01/2014 10:00;17.7
06/01/2014 11:00;17.7
06/01/2014 12:00;17.7
06/01/2014 13:00;23.6
06/01/2014 14:00;23.9
06/01/2014 15:00;29.5
06/01/2014 16:00;29.21
06/01/2014 17:00;24.78
06/01/2014 18:00;24.78
06/01/2014 19:00;18.88
06/01/2014 20:00;18.59
06/01/2014 21:00;9.44
06/01/2014 22:00;9.44
06/01/2014 23:00;5.9
07/01/2014 00:00;5.9
07/01/2014 01:00;2.36
07/01/2014 02:00;2.36
07/01/2014 03:00;2.36
07/01/2014 04:00;2.66
07/01/2014 05:00;8.26
07/01/2014 06:00;8.26
07/01/2014 07:00;5.9
07/01/2014 08:00;5.9
07/01/2014 09:00;11.8
07/01/2014 10:00;11.51
07/01/2014 11:00;5.9
07/01/2014 12:00;6.2
07/01/2014 13:00;11.8
07/01/2014 14:00;12.1
07/01/2014 15:00;15.34
07/01/2014 16:00;15.64
07/01/2014 17:00;21.24
07/01/2014 18:00;21.24
07/01/2014 19:00;20.06
07/01/2014 20:00;20.06
07/01/2014 21:00;18.88
07/01/2014 22:00;18.59
07/01/2014 23:00;12.98
08/01/2014 00:00;13.28
08/01/2014 01:00;21.24
08/01/2014 02:00;20.65
08/01/2014 03:00;10.62
08/01/2014 04:00;11.21
08/01/2014 05:00;21.24
08/01/2014 06:00;21.24
08/01/2014 07:00;22.42
08/01/2014 08:00;23.01
08/01/2014 09:00;36.58
08/01/2014 10:00;37.17
08/01/2014 11:00;46.02
08/01/2014 12:00;46.02
08/01/2014 13:00;48.38
08/01/2014 14:00;48.38
08/01/2014 15:00;44.84
08/01/2014 16:00;45.73
08/01/2014 17:00;68.44
08/01/2014 18:00;68.44
08/01/2014 19:00;73.16
08/01/2014 20:00;72.87
08/01/2014 21:00;64.9
08/01/2014 22:00;64.31
08/01/2014 23:00;53.1
09/01/2014 00:00;53.1
09/01/2014 01:00;40.12
09/01/2014 02:00;39.53
09/01/2014 03:00;29.5
09/01/2014 04:00;29.5
09/01/2014 05:00;25.96
09/01/2014 06:00;26.26
09/01/2014 07:00;37.76
09/01/2014 08:00;37.76
09/01/2014 09:00;37.76
09/01/2014 10:00;37.47
09/01/2014 11:00;34.22
09/01/2014 12:00;34.22
09/01/2014 13:00;37.76
09/01/2014 14:00;37.76
09/01/2014 15:00;37.76
09/01/2014 16:00;38.06
09/01/2014 17:00;49.56
09/01/2014 18:00;49.86
09/01/2014 19:00;82.6
09/01/2014 20:00;82.6
09/01/2014 21:00;82.31
09/01/2014 22:00;82.31
09/01/2014 23:00;75.52
10/01/2014 00:00;75.23
10/01/2014 01:00;51.92
10/01/2014 02:00;51.33
10/01/2014 03:00;35.4
10/01/2014 04:00;35.4
10/01/2014 05:00;40.12
10/01/2014 06:00;40.12
10/01/2014 07:00;42.48
10/01/2014 08:00;42.78
10/01/2014 09:00;48.38
10/01/2014 10:00;48.38
10/01/2014 11:00;48.38
10/01/2014 12:00;48.09
10/01/2014 13:00;42.48
10/01/2014 14:00;42.48
10/01/2014 15:00;38.94
10/01/2014 16:00;40.12
10/01/2014 17:00;68.44
10/01/2014 18:00;68.44
10/01/2014 19:00;74.34
10/01/2014 20:00;74.34
10/01/2014 21:00;74.34
10/01/2014 22:00;74.05
10/01/2014 23:00;66.08
11/01/2014 00:00;66.08
11/01/2014 01:00;54.28
11/01/2014 02:00;54.28
11/01/2014 03:00;55.46
11/01/2014 04:00;54.87
11/01/2014 05:00;44.84
11/01/2014 06:00;44.84
11/01/2014 07:00;44.84
11/01/2014 08:00;44.55
11/01/2014 09:00;35.4
11/01/2014 10:00;35.4
11/01/2014 11:00;30.68
11/01/2014 12:00;30.98
11/01/2014 13:00;33.04
11/01/2014 14:00;33.04
11/01/2014 15:00;35.4
11/01/2014 16:00;35.7
11/01/2014 17:00;41.3
11/01/2014 18:00;41.3
11/01/2014 19:00;61.36
11/01/2014 20:00;61.66
11/01/2014 21:00;71.98
11/01/2014 22:00;71.69
11/01/2014 23:00;67.26
12/01/2014 00:00;67.26
12/01/2014 01:00;64.9
12/01/2014 02:00;64.61
12/01/2014 03:00;62.54
12/01/2014 04:00;62.54
12/01/2014 05:00;59
12/01/2014 06:00;58.71
12/01/2014 07:00;50.74
12/01/2014 08:00;50.45
12/01/2014 09:00;38.94
12/01/2014 10:00;38.65
12/01/2014 11:00;31.86
12/01/2014 12:00;31.86
12/01/2014 13:00;29.5
12/01/2014 14:00;29.21
12/01/2014 15:00;21.24
12/01/2014 16:00;20.95
12/01/2014 17:00;17.7
12/01/2014 18:00;18
12/01/2014 19:00;31.86
12/01/2014 20:00;31.86
12/01/2014 21:00;33.04
12/01/2014 22:00;33.34
12/01/2014 23:00;38.94
13/01/2014 00:00;38.65
13/01/2014 01:00;29.5
13/01/2014 02:00;28.91
13/01/2014 03:00;16.52
13/01/2014 04:00;16.52
13/01/2014 05:00;21.24
13/01/2014 06:00;21.54
13/01/2014 07:00;30.68
13/01/2014 08:00;30.39
13/01/2014 09:00;24.78
13/01/2014 10:00;24.49
13/01/2014 11:00;16.52
13/01/2014 12:00;16.52
13/01/2014 13:00;15.34
13/01/2014 14:00;15.05
13/01/2014 15:00;8.26
13/01/2014 16:00;8.26
13/01/2014 17:00;9.44
13/01/2014 18:00;9.44
13/01/2014 19:00;17.7
13/01/2014 20:00;17.7
13/01/2014 21:00;14.16
13/01/2014 22:00;14.16
13/01/2014 23:00;15.34
14/01/2014 00:00;15.34
14/01/2014 01:00;14.16
14/01/2014 02:00;13.87
14/01/2014 03:00;9.44
14/01/2014 04:00;9.74
14/01/2014 05:00;15.34
14/01/2014 06:00;15.34
14/01/2014 07:00;17.7
14/01/2014 08:00;17.41
14/01/2014 09:00;11.8
14/01/2014 10:00;11.8
14/01/2014 11:00;11.8
14/01/2014 12:00;11.8
14/01/2014 13:00;14.16
14/01/2014 14:00;14.16
14/01/2014 15:00;9.44
14/01/2014 16:00;9.74
14/01/2014 17:00;14.16
14/01/2014 18:00;14.16
14/01/2014 19:00;25.96
14/01/2014 20:00;25.96
14/01/2014 21:00;23.6
14/01/2014 22:00;23.01
14/01/2014 23:00;12.98
15/01/2014 00:00;12.98
15/01/2014 01:00;16.52
15/01/2014 02:00;16.23
15/01/2014 03:00;14.16
15/01/2014 04:00;14.16
15/01/2014 05:00;14.16
15/01/2014 06:00;14.46
15/01/2014 07:00;21.24
15/01/2014 08:00;21.24
15/01/2014 09:00;27.14
15/01/2014 10:00;26.85
15/01/2014 11:00;23.6
15/01/2014 12:00;23.6
15/01/2014 13:00;12.98
15/01/2014 14:00;12.69
15/01/2014 15:00;7.08
15/01/2014 16:00;7.08
15/01/2014 17:00;8.26
15/01/2014 18:00;8.26
15/01/2014 19:00;11.8
